month,qind,qdist,qtotal
2017-07-01,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0
2017-11-01,1180.0,4870.0,6050.0
2017-12-01,1104.0,2265.0,3369.0
2018-01-01,249.0,475.0,724.0
2018-02-01,774.0,1820.0,2594.0
2018-03-01,55.0,25.0,80.0
2018-04-01,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-11-01,2263.0,11274.0,13537.0
2018-12-01,2347.0,5800.0,8147.0
2019-01-01,1681.0,3946.0,5627.0
2019-02-01,1030.0,544.0,1574.0
2019-03-01,703.0,170.0,873.0
2019-04-01,399.0,134.0,533.0
2019-05-01,0.0,609.0,609.0
2019-06-01,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-11-01,3992.0,16922.0,20914.0
2019-12-01,3799.0,5552.0,9351.0
2020-01-01,2249.0,0.0,2249.0
2020-02-01,371.0,0.0,371.0
2020-03-01,14.0,0.0,14.0
2020-04-01,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0
2020-11-01,9467.0,17136.0,26603.0
2020-12-01,9718.0,8816.0,18534.0
2021-01-01,1062.0,464.0,1526.0
2021-02-01,0.0,32.0,32.0
2021-03-01,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0
2021-11-01,7548.0,34992.0,42540.0
2021-12-01,6558.0,1456.0,8014.0
2022-01-01,4060.0,96.0,4156.0
2022-02-01,1148.0,112.0,1260.0
2022-03-01,680.0,0.0,680.0
2022-04-01,353.0,0.0,353.0
2022-05-01,319.0,383.0,702.0
2022-06-01,0.0,564.0,564.0
